player,team,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,pts_rank,gmsc_rank,ts_rank
Zach Edey,MEM,71,9.3,8.5,1.0,0.5,1.4,1.4,0.6,0.146,0.632,9.7,1.7,49.3,180,125,22
Wendell Carter Jr.,ORL,73,9.3,7.6,1.9,0.7,0.6,1.2,0.47,0.235,0.548,8.6,-0.7,45.2,180,149,182
Nickeil Alexander-Walker,MIN,97,9.3,3.0,2.7,0.6,0.4,1.3,0.427,0.378,0.561,7.1,2.7,59.8,180,198,154
Ja'Kobe Walter,TOR,48,9.3,3.3,1.7,0.9,0.2,1.0,0.416,0.292,0.527,6.7,-2.0,37.5,180,210,218
Tyrese Martin,BRK,56,9.3,3.9,2.1,0.6,0.1,1.3,0.388,0.316,0.51,6.7,-4.7,26.8,180,210,238
Draymond Green,GSW,80,9.1,6.1,5.5,1.5,1.0,2.6,0.408,0.273,0.512,9.0,3.3,58.8,185,141,234
Royce O'Neale,PHO,75,9.1,4.7,2.2,0.9,0.5,0.9,0.41,0.394,0.567,7.7,-2.1,44.0,185,173,135
Julian Strawther,DEN,66,9.1,2.2,1.2,0.6,0.3,0.9,0.408,0.308,0.536,5.6,-0.8,62.1,185,244,203
Noah Clowney,BRK,46,9.1,3.9,0.9,0.5,0.5,1.0,0.349,0.29,0.489,5.6,-5.7,23.9,185,244,252
Max Christie,LAL,43,9.0,2.8,1.5,0.8,0.5,0.9,0.468,0.368,0.625,7.2,-0.2,58.1,189,196,33
Clint Capela,ATL,55,8.9,8.5,1.1,0.6,1.0,0.9,0.566,0.0,0.562,9.4,-1.4,49.1,190,134,152
Luke Kennard,MEM,67,8.9,2.9,3.3,0.8,0.1,1.2,0.439,0.37,0.582,8.2,1.7,55.2,190,160,102
Isaiah Collier,UTA,69,8.9,3.4,6.4,0.9,0.2,3.0,0.411,0.185,0.476,7.3,-5.7,20.3,190,193,258
